IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipFrontLeft,TireCombinedSlipFrontRight,TireCombinedSlipRearLeft,TireCombinedSlipRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders,PositionX,PositionY,PositionZ,Speed,Power,Torque,TireTempFl,TireTempFr,TireTempRl,TireTempRr,Boost,Fuel,Distance,BestLapTime,LastLapTime,CurrentLapTime,CurrentRaceTime,Lap,RacePosition,Accelerator,Brake,Clutch,Handbrake,Gear,Steer,NormalDrivingLine,NormalAiBrakeDifference
True,37041593,15999.99,0,5825.427,3.4532151,-1.1523092,0.6832335,-1.5330372,-0.015198171,43.12962,0.029790664,-0.09843045,-0.00046266336,-0.7068148,0.010206121,-0.0055333194,0.2788567,0.2483008,0.3241309,0.2683743,0.047020163,0.041241206,0.0903932,0.07149843,134.07646,134.48022,134.57275,134.77615,0,0,0,0,0,0,0,0,0,0,0,0,-0.2796311,-0.25697896,0.33547562,0.34003687,0.2835568,0.2602672,0.3474404,0.34747246,0.0015399605,-0.002208218,0.009644177,0.0030151233,164,6,231,2,0,-3016.419,235.20612,1474.665,43.156857,140775.95,230.78287,241.95494,222.8274,269.37692,269.37692,0,1,3484.2961,0,0,92.724365,92.72429,0,2,59,0,0,0,1,-127,91,0
True,37041703,15999.99,0,5529.753,-2.246838,1.1948954,-9.582022,-0.7581234,0.008428663,42.302666,-0.027677178,-0.36108178,-0.025906134,-0.7319094,0.0075716516,-0.007208015,0.31127635,0.3371938,0.2500734,0.272003,-0.19154726,-0.13878556,-0.38309807,-0.2715337,127.78803,130.11145,125.538666,128.531,0,0,0,0,0,0,0,0,0,0,0,0,-0.39542145,-0.34953108,0.080484875,0.07556212,0.4393728,0.37607634,0.39146128,0.28185135,0.005516764,0.008695964,0.00083928555,0.003446553,164,6,231,2,0,-3019.5618,235.16083,1478.0768,42.309464,-36739.977,-63.37796,240.00694,221.69379,266.25912,266.25912,-14.16066,1,3487.7175,0,0,92.8322,92.83212,0,2,0,255,0,0,1,-127,83,129
True,37041828,15999.99,0,4990.8896,-4.314584,1.4432951,-16.669626,0.9187679,0.2377195,40.24614,0.033184987,-0.59421617,-0.008198997,-0.7851323,0.0084179,-0.00973668,0.34085345,0.41293776,0.22618474,0.26299393,-1.2943918,-0.13226749,-1.5098034,-0.3148417,109.92612,123.612206,107.53544,121.358894,0,0,0,0,0,0,0,0,0,0,0,0,-0.7570665,-0.65286297,-0.40733087,-0.34868437,1.499533,0.66612667,1.5637854,0.46979365,0.00914488,0.017987203,-0.0020008981,0.0023754388,164,6,231,2,0,-3022.6475,235.14163,1481.3336,40.257324,-31988.46,-61.19135,238.28357,220.75537,263.37137,263.37137,-14.588955,1,3491.0308,0,0,92.94116,92.94109,0,2,0,255,0,0,1,-127,76,129
True,37041937,15999.99,0,4760.1084,-4.6022444,-0.57753253,-12.644693,3.325245,0.2801295,38.594223,0.012359908,-0.7307674,-0.007251736,-0.8594189,0.011000996,-0.010838936,0.27847984,0.39986968,0.19815753,0.27265602,-0.7663956,-0.8796319,-1.5976896,-0.18155958,108.96443,107.51224,102.41411,119.283104,0,0,0,0,0,0,0,0,0,0,0,0,-1.5318465,-1.2778118,-1.1805272,-1.0254709,1.7128679,1.5513076,1.9865187,1.0414194,0.0014937371,0.016384188,-0.0053331256,0.0035241954,164,6,231,2,0,-3025.717,235.1258,1484.5309,38.73822,-29028.05,-58.181293,237.61243,220.50531,262.14056,262.14056,-14.7,1,3494.3054,0,0,93.05354,93.053474,0,2,0,255,0,0,1,-127,69,201
True,37042031,15999.99,0,4505.771,-7.750059,-0.44534087,-11.347512,5.2875547,0.27217266,37.1539,0.00543644,-0.76887864,0.0062753726,-0.93041915,0.011182645,-0.010637859,0.22043784,0.34679097,0.13344884,0.24217899,-0.8598164,-0.90173733,-1.2320408,-0.7138506,103.47885,102.47956,102.28197,107.00279,0,0,0,0,0,0,0,0,0,0,0,0,-2.0938773,-1.7029847,-1.7931966,-1.5331273,2.2635384,1.9269891,2.1756558,1.6911718,-0.0056260675,0.009873215,-0.013026511,-9.930134E-05,164,6,231,2,0,-3028.2742,235.10721,1487.1177,37.52925,-26435.076,-55.68838,238.70216,222.62665,262.68213,262.68213,-14.7,1,3496.9946,0,0,93.149,93.14894,0,2,0,255,0,0,1,-127,64,192
True,37042156,15999.99,0,4175.782,-8.346109,0.15625118,-10.009182,7.9295015,0.26622877,35.166866,-0.009442754,-0.7983841,0.032721903,-1.0308474,0.00954861,-0.008438565,0.23728113,0.42596003,0.101835825,0.2591379,-1.0155053,-0.82658106,-0.8837845,-1.6351645,95.23831,95.520294,98.33736,95.682785,0,0,0,0,0,0,0,0,0,0,0,0,-2.8943954,-2.4827762,-2.7293324,-2.2993202,3.0673728,2.6167562,2.8688552,2.82146,-0.003559962,0.019584596,-0.016785065,0.001916986,164,6,231,2,0,-3031.6277,235.08469,1490.3938,36.050747,-22513.902,-51.42746,243.40645,228.86615,265.8244,265.8244,-14.7,1,3500.5615,0,0,93.27645,93.27639,0,2,0,255,0,0,1,-127,60,184
True,37042265,15999.99,0,3927.5474,-12.380613,0.8466845,-10.79077,9.536008,0.3186349,33.10083,0.024924489,-0.77600753,0.05668874,-1.1186725,0.009852462,-0.0037332394,0.25279257,0.4442614,0.18205842,0.35780543,-1.4534638,-0.47136447,-1.0818473,-1.5196027,85.157814,96.998695,90.47769,90.52794,0,0,0,0,0,0,0,0,0,0,0,0,-3.5819392,-2.9684634,-3.3293178,-2.790776,3.8655977,3.0056546,3.5006788,3.1776757,-0.0016572289,0.02182956,-0.007247191,0.0136478245,164,6,231,2,0,-3034.503,235.07314,1493.0645,34.44854,-19541.03,-47.631016,249.8691,237.59285,270.99103,270.99103,-14.7,1,3503.4678,0,0,93.38771,93.38764,0,2,0,255,0,0,1,-127,60,169
True,37042375,15999.99,0,3607.1392,-13.324359,-0.044299,-10.237894,10.896962,0.3341808,31.033966,0.019251445,-0.79279065,0.03079825,-1.2059193,0.011897327,-0.0006061374,0.26215395,0.4341713,0.16043955,0.31538692,-1.6462405,-0.5883521,-2.2038405,-0.8587751,77.681114,89.54524,76.14283,90.13424,0,0,0,0,0,0,0,0,0,0,0,0,-4.2017465,-3.521849,-4.050635,-3.3522341,4.5127354,3.570655,4.6113505,3.4604867,-0.00050890446,0.020591844,-0.009817515,0.008604582,164,6,231,2,0,-3037.3123,235.06844,1495.526,32.893196,-16613.857,-43.981167,256.3742,246.42627,276.19794,276.19794,-14.7,1,3506.237,0,0,93.49876,93.49869,0,2,0,255,0,0,1,-127,60,162
True,37042468,15999.99,0,3326.715,-14.670642,-0.35149044,-7.882209,11.809942,0.31693846,29.391506,-0.0109129045,-0.8396792,-0.01399518,-1.2824706,0.012485433,-0.0008445127,0.2828239,0.38863182,0.15971012,0.2847696,-1.7588421,-0.88900506,-1.9774889,-1.5845742,72.13045,82.25677,73.58218,79.68107,0,0,0,0,0,0,0,0,0,0,0,0,-4.6235714,-4.1050277,-4.6432824,-4.002213,4.9468107,4.200188,5.046834,4.3044844,0.0020266026,0.015005682,-0.009904239,0.0049644075,164,6,231,2,0,-3039.6616,235.06433,1497.4496,31.677053,-14149.3545,-40.598946,261.69742,253.5683,280.32156,280.32156,-14.7,1,3508.489,0,0,93.59292,93.59285,0,2,0,255,0,0,1,-127,59,153
True,37042593,15999.99,0,3097.6602,-15.684641,-0.01936474,-6.698162,12.778372,0.27860188,27.408466,-0.00418802,-0.84440184,0.010477492,-1.3759365,0.011031894,-0.0021869321,0.24339461,0.36712313,0.15708075,0.27109218,-2.8641665,-0.85646987,-1.9791437,-1.0157329,59.273567,76.590126,68.4464,78.5332,0,0,0,0,0,0,0,0,0,0,0,0,-5.28023,-4.4677887,-5.2325115,-4.384575,6.007019,4.5491405,5.5942993,4.50069,-0.0028100424,0.012367286,-0.010216851,0.0033382624,164,6,231,2,0,-3042.3809,235.05748,1499.5208,30.242165,-12297.021,-37.862843,267.32092,261.52258,285.16098,285.16098,-13.517096,1,3511.0222,0,0,93.70334,93.703285,0,2,0,255,0,0,1,-127,54,129
